会社名,会場,ブース番号,説明（日本語）,備考,Best of Innovation,山中行きたい,長坂行きたい,PDFページ,PDF_X,PDF_Y
EMOTICONNECT BY MACOMAGENCY,LVCC West,61106,Emoticonnectは、国際的に利用可能なフランスのソリューションで、CNRSと共同開発されたヨーロッパの感情および予測分析のリーダーです。グリーンダストリーのラベルで認定された倫理的なAIとして、それは...,,,,,11.0,357.82,357.76
ENIGMA,LVCC West,62901,- Enigma インテリジェントメッセージングソリューション:既存のメッセージング方式の制約や問題を克服する未来志向のインテリジェントメッセージング手法!,,,,,11.0,345.64,219.83
EPSEED,LVCC West,60412,EPSEEDはTHE SEEDを開発しており、あらゆるコンピュータを安全で統一されたワークスペースに変える小型ボックスです。これにより、ハイブリッドワークやBYODなどに最適な、分離され制御されたオペレーティングシステムの展開が可能になります。,,,,,11.0,269.72,397.55
EYECHIP Corporation,LVCC West,62901,Eyechipは複雑なアイトラッキングハードウェアを単一の超低消費電力センサーに置き換えます。特許取得済みのインピクセルコンピューティングは電力を20倍削減し、軽量AR/VRメガネや携帯型医療診断を可能にします...,,,,,11.0,345.64,219.83
EigenQ,Venetian Expo,60652,EigenQは、量子サイバーセキュリティ、量子インターネット、量子コンピューティングを推進する、米国を拠点とする破壊的な量子技術企業です。EigenQのNIST認証PQC+™ソリューションは政府、そして...,量子という新しいキーワードに触れておきたい。セキュリティ対策が困難な中、新しいアプローチを知る目的,,,★★,11.0,211.94,384.29
"Element TV Company, LP.",,"Bassano 2801, Bassano 2802, Veronese 2503",Elementは2007年に設立され、高品質で手頃な価格の製品を提供することで知られる急成長中のコンシューマーテックブランドです。私たちはテクノロジーを手軽に楽しませることに注力しています。唯一の主要なテレビ局として...,,,,,11.0,303.12,213.22
Ezymind Healthcare Private Limited,LVCC West,61234,,,,,,11.0,251.73,344.5
FCM MOBILITY,LVCC West,63432,FCMモビリティは、スマート廃棄物物流のためのスケーラブルでAI駆動のゼロエミッションマイクロモビリティを提供します。私たちのデータ駆動型プラットフォームは、画像処理と炭素追跡を統合し、持続可能な都市を推進しています...,,,,,11.0,240.13,184.48
Fortitudo Diamonds SRL,LVCC West,62000,REM®は、洗練された職人技とデジタルイノベーションを融合させたインタラクティブなジュエリーを制作し、メッセージ、写真、動画などの個人的なコンテンツをスマートフォンで保存・アクセスできるようにします。理想的な...,,,,,11.0,310.14,282.62
"FutureMain Co., Ltd.",LVCC West,62833,FutureMainはAI予測保守ソリューションでダウンタイムを短縮し、信頼性を高めます。37年にわたるエンジニアリングの専門知識に支えられ、独自のExRBMおよびExRBM Portable+は自動的にEAを検出します...,,,,,11.0,241.29,206.6
"GAUSSLAB Co., Ltd.",LVCC West,63416,GAUSSLABは、製造、建設、エネルギー、プラント業界向けのAIおよびAR搭載のデジタルツインソリューションを開発しています。検査、報告、安全のワークフローを正確で効率的なものに効率化しています...,,,,,11.0,273.58,166.82
GLEC Inc,LVCC West,63600,GLEC Inc.は、貨物トラック向けのデュアルCPUエッジAI DTGとクラウドベースのフリートAIプラットフォームを組み合わせたAIタコグラフを開発しています。約500台のトラックにパイロットが乗っていて、3400万件の日々の運転記録があり、...,,,,,11.0,300.98,170.56
Greneta,LVCC West,62501,Greneta Corp.はKeeepというプラットフォームを運営しており、このプラットフォームはファイルを99.6%圧縮し、品質損失なく超軽量な3Dデータを提供します。自動化された3Dビルディングモデル生成とモバイル最適化を活用して...,,,,,11.0,347.95,238.42
H2CTLAB Inc.,LVCC West,62738,H2CTLAB Inc.は、未来のデジタルコンテンツトレンドを読みながら、未発見の可能性を探求しています。H2CTLABは、テクノロジーとアートを融合させて人と文化をつなぐAI没入型コンテンツ企業です。私が...,,,,,11.0,429.99,237.53
Hanyang University,LVCC West,61445,1939年の韓国創立以来、漢陽大学は名門の私立機関として確立され、卓越した能力とビジョンを持つ優秀な人材を育成してきました。その...,,,,,11.0,222.8,304.73
Haylo Tech Limited,LVCC West,63200,Hayloは、従来の画面ベースのツールに苦労する神経典型者や神経多様性のある学習者の集中力と記憶力をサポートするために設計されたAI搭載のウェアラブルヘッドバンドです。生徒たちはv...,,,,,11.0,302.69,186.7
Huma,LVCC West,63432,Humaは、AIメンター、教育ゲーム、そして活気あるキャラクター主導の世界を通じて、4歳から12歳の子どもたちの教育を再構築することで、スクリーンタイムを学びへの情熱へと変えています。,,,,,11.0,240.13,184.48
Hypergram Inc.,LVCC West,62633,Hypergram Inc.は、産業レベル向けの高速ハイパースペクトルカメラおよびAIベースのハイパースペクトル画像解析ソフトウェアソリューションを提供し、業界全体で非破壊および自動検査を実現します。,,,,,11.0,243.93,238.41
ID4US,LVCC West,60711,ID4USは、超音波3Dイメージングを用いた独自のデジタル署名を生成する画期的な生体認証システム「Ecrin」を提供し、セキュリティとユーザー体験の基準を再定義します。,,,,,11.0,369.65,344.52
"IFNEWWORLD Co., Ltd.",LVCC West,63416,IFNEWWORLDは、現実とデジタルインタラクションを融合させた革新的なXRソリューションを開発しています。同社は、没入型写真や動画制作のための自動化されたユーザーフレンドリーなシステムを開発し、ブランドの...,,,,,11.0,273.58,166.82
IRhema Safe Electrical Technology Corp,LVCC West,62035,IRHEMAセーフ・エレクトリカル・テクノロジー社は、防水、防塵、爆発、衝撃防止の電気システムに関して10年以上の研究開発と特許経験を持つ新設の米国企業です。,,,,,11.0,251.73,290.57
"ITDA Semiconductor Co,. Ltd",LVCC West,62901,ITDAセミコンダクターは高度なSOCシステム設計ソリューションであるSOC Canvasを開発しています。2022年以降、ITDAは10+年の設計経験と30+pate...に裏付けられた実証済みのシステムレベル設計技術を提供してきました。,,,,,11.0,345.64,219.83
ImageVector MedTech Limited,LVCC West,63200,ImageVector MedTech Limitedは、香港理工大学の生物医学技術企業であり、早期発見と管理のための知的でデータ駆動型のシステム開発に専念しています...,,,,,11.0,302.69,186.7
Imago Technologies LLC,LVCC West,60645,IMAGO Technologiesはスマートコラボレーションソリューションの世界的リーダーであり、企業や教育機関がより知的で未来に備えた技術で運営できるよう支援しています。私たちは完成...,,,,,11.0,229.63,375.44
Innovatech SRL,LVCC West,61001,Innovatechは、観光、医療、人事、小売向けにインパクトが高くスケーラブルなソリューションを提供するイタリアのリーディングAI企業です。ケリー、ソフィア、オリビア、チェックメッド、エボベラと共に、組織の支援は...,,,,,11.0,308.95,317.11
Insider Plus d.o.o.,LVCC West,61246,InsiderCXは、高度なアルゴリズムを活用して膨大なフィードバックデータとAIエージェントを活用し、より良いケアを提供し、離職率を抑えるために民間医療向けの品質管理SaaSです。,,,,,11.0,225.21,344.5
IntelligEarth S.r.l.,Venetian Expo,61601,IntelligEarthはスマートフォンを資産監視のためのプロフェッショナルな監視ツールへと変貌させます。私たちのAI搭載プラットフォームは、市民科学と宇宙由来の技術を組み合わせ、分散型の「h...」を生み出しています。,スマートフォンを資産監視というキーワードで気になった。ただし宇宙由来云々は眉唾もの,,,★★,11.0,305.0,304.72
Intelligent Information Security Technology Inc.,LVCC West,62201,インテリジェント情報セキュリティ技術株式会社(IIST)は、高度なPUF(物理的複製不可能機能)サイバーセキュリティ技術の開発、チップシステム統合、そして理解を専門としています。,,,,,11.0,313.4,238.43
Israel Pavilion,LVCC West,"61701, 6559",輸出研究所およびイスラエル経済省は、貿易と輸出の促進、貿易協定の開始・維持を通じて、イスラエルの国際貿易および貿易政策を管理・支援しています。,,,,,11.0,345.6,300.3
JBNU,LVCC West,62659,全北特別自治道大学協会,,,,,11.0,195.22,238.41
JUNKY CREAM,LVCC West,61716,JUNKY CREAMは、実写、CG、AIを融合させたハイブリッドパイプラインを通じて次世代アニメーション、AI映画、バーチャルアーティストを制作するAI搭載のIPスタジオです。独特な技術と20年...,,,,,11.0,379.92,317.98
K-water,LVCC West,62833,グローバル・ウォーター・コンプリヘンシブ・プラットフォーム・カンパニー,,,,,11.0,241.29,206.6
KBS VVERTIGO,LVCC West,62738,KBS VVERTIGOは、2022年に設立されたKBS内の専門プロジェクトラボで、放送メディアのイノベーションをリードしています。AI技術を活用し、KBS VVERTIGOは没入型のソリューションを提供する最先端のソリューションを提供しています。,,,,,11.0,429.99,237.53
KLS,LVCC West,62501,KLSの中核的な競争優位性は、豊富な現地設置経験にあります。これを踏まえ、同社は研究開発に進出し、技術を通じた現実世界の課題に取り組むソリューションを生み出しました。,,,,,11.0,347.95,238.42
"KSEEK co., Ltd.",LVCC West,62738,特許取得済みの合意率ゲームは、何百万人もの人々が楽しんでいるライブトークショー形式です。これはメタ認知と社会的認識を鍛える新しいクイズジャンルです。私たちはプラットフォーム(OTT、SNS)に大規模なSDKを提供しています...,,,,,11.0,429.99,237.53
"KSNT Co., Ltd.",LVCC West,62653,KSNT株式会社は、先進的なウェアラブルエアバッグ技術を通じて職場の安全を強化しています。当社のスマートエアバッグは危険な落下をリアルタイムで検知し、即座に展開して作業員を重傷から守ります。...,,,,,11.0,208.48,238.41
KerQuest,LVCC West,60711,KERQUESTはコンピュータビジョン企業であり、消費者と製品の相互作用を革新するオブジェクト認識ソリューションを開発しています。この特許技術は、すべての製品に声を与え、...,,,,,11.0,369.65,344.52
"KoolMicro, Inc.",LVCC West,62845,KoolMicroはAIおよび高性能半導体チップ向けの革新的なダイレクト・トゥ・チップ液冷ソリューションを提供し、データセンターの性能最適化とエネルギー効率の劇的な向上を実現しています...,,,,,11.0,213.61,215.42
LITIV Inc.,LVCC West,62817,私たちはバスケットボールコートを高利益のコンテンツ工場に変えています。BASTATは完全自動化されたAIプラットフォームで、ゼロの摩擦なく瞬時にハイライトをプレイヤーに提供します。私たちはジムのオーナーに力を与えます...,,,,,11.0,272.28,206.6
LV Energy,LVCC West,62100,CESイノベーション賞受賞・特許取得済みのアンビエントサウンドからの電気エネルギー収穫法は、持続可能かつ高いROIエネルギー生産の次の大きなステップであり、非断続的かつ他のどのエネルギーよりも優れた性能を発揮します...,,,,,11.0,346.94,271.58
LeafyPod LLC,LVCC West,60460,LeafyPodは、日常の観葉植物の手入れに迷いをなくすことを目指しています。最初の製品であるLeafyPodプランターは、自動水やりと状態管理機能を備えたスマートプランターです。カッティを組み合わせて...,,,,,11.0,194.26,397.55
Liion Power,LVCC West,62100,CESイノベーション賞受賞のバッテリー寿命延長器—充電器とデバイス間をプラグ&プレイで接続し、よりスマートな充電を実現し、バッテリー寿命を最大50%延ばす特許出願中の技術です。準備はできてる...,,,,,11.0,346.94,271.58
Lunawake Ltd.,LVCC West,60449,Lunawakeは、あなたの睡眠を感知し、優しく起こしてくれるベッドサイドAIデバイスです。マルチモーダルセンシングとスマートアルゴリズムを用いて、目覚めを滑らかでマインドフルな移行へと変え、驚きではありません。SLEから...,,,,,11.0,220.78,388.71
Luya Tech Inc.,LVCC West,62039,"Luyaは世界初のAIマイクログリーングロワー(ハードウェア+プレシードトレイ)で、味を学習し、すべての家族に合わせた個別栄養を育てます。特許出願中の3つのAIは、味付けのためにSenseTaste™を活用しています,...",,,,,11.0,242.89,290.57
"MEDIHUB, Inc",LVCC West,62817,MEDIHUBは、安全で正確な薬物投与を強化する革新的な医療機器を開発しています。ソウル大学病院と共同開発したデジタル無痛自動注射器は、世界的な評価を達成しました...,,,,,11.0,272.28,206.6
"MHS Co., Ltd",LVCC West,63300,MHSは韓国唯一のエンドツーエンド熱ソリューションプロバイダーであり、精密な熱分析と先進的な冷却ハードウェアを提供しています。マイクロアクア冷却システム(MACS)は超薄型の毛細管を導入します...,,,,,11.0,348.82,180.06
MLR srl,LVCC West,61601,MLRは、写真や動画の真正性を認証するプラットフォーム「WuvDay」を開発している革新的な企業です。安全なデジタル署名と高度な検証技術を用いて、信頼性を確保しています...,,,,,11.0,305.0,304.72
MTS COMPANY,LVCC West,63701,2020年以降、MTS社は韓国最大級の病院、例えばセヴァランス病院と連携してAI医療ソフトウェア開発に関する複数の国内プロジェクトを実施しています。私たちは発展しました...,,,,,11.0,345.06,166.78
MYCommuters,LVCC West,61104,MYCOMMUTERS:戦略的意思決定のためのモビリティ・インテリジェンス。オンデマンド調査から定期的な報告、SaaS統合まで、MYCOMMUTERSは人や場所のデータと移動インサイト、u...,,,,,11.0,353.4,357.76
MedVision Ltd,LVCC West,63200,,,,,,11.0,302.69,186.7
Metaoptics Technologies Pte Ltd,LVCC West,60213,メタオプティクス・テクノロジーズ株式会社Ltd.はメタレンズ技術の主要な設計・開発者です。シンガポールに拠点を置き、革新的な光学ソリューションを提供し、状況を変革することに専念しています...,,,,,11.0,269.72,401.97
"Millisight Technologies Co., Ltd.",LVCC West,63300,ミリサイト・テクノロジーズ株式会社は、先進的なRF/mmW技術に基づくリモートセンシングシステムの専門開発会社です。同社は独自の半導体および信号処理技術を活用しています...,,,,,11.0,348.82,180.06
Miot solutions Ltd,LVCC West,60638,MIOTワイヤレスソリューションズは、コンセプトから量産までの製品開発を全面的に行うエンドツーエンドのIoT/AIハードウェアODM企業です。当社の社内能力には、RF/アンテナ設計、ハードウェアなどが含まれます。,,,,,11.0,242.89,384.29
Moduel AB,LVCC West,61666,プラグアンドプレイ!Moduelは、Matter対応のスマートホームと接続されたエコシステム向けにAI搭載のモジュールプラットフォームを提供します。私たちの技術はプラグアンドプレイのアーキテクチャとリアルタイムデータインテリジェンスを組み合わせています...,,,,,11.0,181.0,317.98
Morla Moves B.V.,LVCC West,62100,当務の最優先事項は、主要な関節全体の可動域を高精度に測定するための独自のAIモデルの完成です。この基礎段階に不可欠なのは理解です...,,,,,11.0,346.94,271.58
NextRender S.R.L.,LVCC West,61601,,,,,,11.0,305.0,304.72
NovoViz SA,LVCC West,61220,"NovoVizは、計算単一光子イメージングを推進するスイスのファブレス半導体イノベーターです。私たちは、マシンビジョンや産業オートメーション向けのスケーラブルで高性能なSPADセンサーソリューションを提供しています,...",,,,,11.0,270.31,331.24
Nuvatech Limited,LVCC West,63200,Nuvatech:次世代の消費者向けファッションOSで、エージェントAIを搭載。(バーチャルコンセプトクローゼット、AIパーソナライズスタイリスト),,,,,11.0,302.69,186.7
O'dlee Reality,LVCC West,63416,ONDOHLの使命は、生産性と癒しを促進する温かく居心地の良い家づくりにあります。私たちは、特に...,,,,,11.0,273.58,166.82
Olive Corp.,LVCC West,60509,OliveのEmotion AIプラットフォームは機械学習を用いて生体情報を抽出し、リアルタイムで感情状態を特定します。私たちのクラウドベースのシステムはアプリケーションに依存しず、完全に受動的かつ非合同です...,,,,,11.0,364.95,384.29
Ovomind SA,LVCC West,61220,Ovomindは、人間の感情をリアルタイムで理解し反応する感情AIの先駆者です。神経科学、生体認証、人工知能を組み合わせることで、私たちは人間をつなぐ技術を生み出します...,,,,,11.0,270.31,331.24
P3 labs inc,LVCC West,60833,P3 Labs AIは、インタラクティブで感情知能の高いデジタルヒューマンアバターを創造し、物語、教育、ブランド体験を生き生きと表現します。高度なAI、リアルタイム3Dアニメーション、そしてホログラップを活用して...,,,,,11.0,256.15,362.18
PAASUP Corp.,LVCC West,63701,PAASUPは規制対象企業向けにプライベートデータインテリジェンスプラットフォームを提供します。PAASUPは安全なネットワーク内で最新のAIとデータ分析を可能にし、ベンダーの関与なしにパブリッククラウドの利便性を提供します。,,,,,11.0,345.06,166.78
PRODEVA,LVCC West,60412,DataVizXは、自動レポート作成、データ統合、インタラクティブダッシュボードを専門とするBIコンサルティング会社です。私たちはあらゆる規模の企業に対し、マルチソースおよびマルチプラットフォームのソリューションを提供し、...,,,,,11.0,269.72,397.55
Pawkeyland LLC,LVCC West,60465,PawkeyLandはスマートテクノロジーを活用し、人とペットの絆を強化しています。オレンジ色のタビーのラッキーに触発され、私たちは初めて活動を追跡し、健康状態を監視し、ダイを認識できるAI首輪を作りました...,,,,,11.0,185.42,388.71
PhytoWorks Inc.,LVCC West,62643,PhytoWorks Nitroは、精密な気候制御とマルチモーダルイメージング(RGB/サーマル/クロロフィル蛍光)を視覚AIと統合し、再現可能で非破壊的な時系列表現型化を実現します。我々の雲団は...,,,,,11.0,221.83,238.41
Plasticvore Chain Limited,LVCC West,63200,PetalGardは害虫駆除をすべての家族にとって重要な健康ソリューションとして再定義しています。私たちは、有害な化学物質を無毒で人道的な害虫伝染病への防御に置き換えます。環境に優しい材料を活用して...,,,,,11.0,302.69,186.7
Play Lab.,LVCC West,61445,,,,,,11.0,222.8,304.73
Post-Silicon Semiconductor Institute,LVCC West,62643,KISTの一部であるポストシリコン半導体研究所は、ニューロモルフィックチップ、脳に着想を得たAI、量子コンピューティング、スピントロニクス、そして超...,,,,,11.0,221.83,238.41
"Projectbuildup, Inc.",LVCC West,62653,Chikiはイベント用の現場AIフォトブースレンタルを提供しています。私たちのサービスは、ゲストを4カット写真でユニークなAIキャラクターに30秒以内に変身させ、スループットとエンゲージメントを最大化します。それぞれの写真は...,,,,,11.0,208.48,238.41
PurelyBiome,LVCC West,60463,PurelyBiomeは、あなたの肌の独特な生態系を解読するパーソナライズされたスキンケア会社です。DNA配列解析とAIを用いて、顔のマイクロバイオームを分析し、最適な健康基準と照らし合わせます...,,,,,11.0,189.84,388.71
Roam smart tracker,LVCC West,60243,RoamはAppleとAndroidの「Find My」連携を備えた洗練されたスマートトラッカーです。発売時に81か国で販売され、あらゆるデバイスに取り付けられ、What3words対応のスマートQRリカバリー機能を持ち、アプリやエクストラップも不要です。,,,,,11.0,234.05,401.97
SEANAT,LVCC West,60412,IRISTIAはAI時代のエンタープライズメモリを再構築しています。SEANATによって開発されたこの特許取得技術は、断片化されたメールアーカイブを構造化され、検索可能でAI対応の知識システムへと変換し、強化します...,,,,,11.0,269.72,397.55
Sakak Inc.,LVCC West,63600,CANDiY AIは、スマートフォン、自動車、医療機器などのさまざまな分野のデバイスを強化する超パーソナライズAIエージェントソリューションです。,,,,,11.0,300.98,170.56
Seehaptic,LVCC West,60401,肌を通して視覚を体験しましょう!SeeHapticはAIと感覚置換を用いて視覚障害者の移動性を変革します。眼鏡に装着したミニカメラが環境を捉え、情報を伝達します...,,,,,11.0,305.05,384.29
Serafim Gaming,LVCC West,62201,セラフィムという名前は、卓越性と勝利を象徴する天使の最高位に由来します。この天使はゲーマーを勝利の頂点へと導きます!,,,,,11.0,313.4,238.43
Skyld,LVCC West,60412,Skyldは、セキュリティの緩やかな環境(オンデバイスおよびオンプレミス)に展開されたAIモデルを保護します。私たちの革新的なソリューションは、リバースエンジニアリング、窃盗、抽出、そしてモードの不正使用を防ぎます...,,,,,11.0,269.72,397.55
Smart Hip Guardian,LVCC West,61047,Briggs Health Solutionsは、特許取得済みの予測型保護ウェアラブル「Smart Hip Guardian」を開発しました。これは日常の活動と秋のイベントの違いを識別できます。もし...,,,,,11.0,225.21,348.92
Social Thingum,LVCC West,61001,Social Thingumは、AI、機械学習、HCI、NLPの分野で革新的なソリューションを開発するICTコンサルティング会社です。Edtech向けにユーザーが自分の好みを集められるチャットボットを開発しました...,,,,,11.0,308.95,317.11
Sonaide,LVCC West,60801,音の意味を解く:健康と安全のために既存機器に組み込まれたオンデバイス音検出技術。,,,,,11.0,305.0,362.18
Splendo Health B.V.,LVCC West,62100,SplendoHealthはデューク大学のスタートアップで、ウェアラブルセンサー技術とAIを組み合わせて、心肺および代謝の健康に関する医療グレードの洞察を提供しています。周手術期で証明された...,,,,,11.0,346.94,271.58
Stardust Echo,LVCC West,61463,ユニコーンブロックスは、3歳から8歳の子どもたち向けに、遊びをストーリー主導の冒険に変えるAI駆動の積み木を作り出します。物語の仲間スパーキーと共に、子どもたちは魔法のものを作り、想像し、探求します...,,,,,11.0,189.84,322.4
Starling Medical,LVCC West,61249,Y Combinator支援のスターリング社は、トイレに行くたびに尿路感染症のリスクを追跡できる初の医療機器を開発しました。健康に敏感かもしれません。,,,,,11.0,220.78,335.66
Strong-Wave Radio Technology Inc.,LVCC West,62201,SWaRTは、mmWave、SatCom、フェーズドアレイ設計に特化したアンテナ設計会社の専門分野です。SWaRTは、あらゆる高周波・高利得用途に対してコスト効率が高く高性能なソリューションを提供します...,,,,,11.0,313.4,238.43
SuDevelopers Inc.,LVCC West,63300,SUDEVELOPERSは、あらゆる種類の二次バッテリー再利用性(SoC、SoH、RUL)の読み取りと予測のためのIoT/ICT分析・管理ハードウェアおよびソフトウェアソリューションを開発しているスタートアップです。,,,,,11.0,348.82,180.06
SunLED Life Science B.V.,LVCC West,62100,特許取得済みの近赤外線技術で、健康的な日光を室内に取り込みます。SunLEDの画期的な技術は、身体の健康を改善し、気分を高め、人々に活力を与え、免疫力を高めます。...,,,,,11.0,346.94,271.58
"Sungmin Networks Co.,Ltd.",LVCC West,63701,私たちは医療CRMおよびCTIソリューションの開発と供給に専念してきました。特に、医療IT分野で革新的な企業としての地位をさらに強化することを目指しています...,,,,,11.0,345.06,166.78
Sustainable Energy Research Division,LVCC West,62643,KISTの回転機械イノベーション(RoMin)ラボは、ターボ機械のトライボロジー、ローターダイナミクス、AIベースの診断技術を推進しています。極限環境向けのベアリング設計と最適化、研究も行います...,,,,,11.0,221.83,238.41
Swayfish Technology,LVCC West,63432,Swayfish Technologyはスマート農業向けのIoTソリューションを開発しています。当社の旗艦製品であるライキンスマートキノコ栽培チャンバーは、センサーと自動化を駆使して理想的な栽培条件を作り出し、...,,,,,11.0,240.13,184.48
"Synclink Co., Ltd.",LVCC West,62501,スマートリング,,,,,11.0,347.95,238.42
TEAMWAY,LVCC West,60415,TEAMWAYのMAILVISTA – あなたのインテリジェントメール管理ソリューション!当社の環境に優しいAIアシスタントが、受信箱をシームレスに分類、まとめ、整理してくれます。メールの過多さにさよならを言いましょう:MAILVISTA s...,,,,,11.0,269.73,384.29
TRAICK AI,LVCC West,63432,TRAICK AIは、甲状腺および乳腺疾患の早期かつ正確な診断を支援するために超音波画像を解析するリアルタイムAIツールを開発しています。私たちのプラットフォームは、...,,,,,11.0,240.13,184.48
Tactus,LVCC West,60647,タクタスは、電子機器をテキスタイルにシームレスに統合するウェアラブル技術を開発しました。私たちの最初の製品は、音楽を振動に変換するウェアラブルデバイスで、音楽を作ることを目標にしています...,,,,,11.0,225.21,375.44
Tech2Biology,LVCC West,63432,Tech2Biologyは、受粉者を保護し、蜂蜜の純度を確保し、収量を増やすAIおよびIoT搭載のスマート蜂箱システムを開発しています。AirBeeやRoboHiveのデバイスを通じて、早期の病気検出を可能にします...,,,,,11.0,240.13,184.48
VOLUMIO SRL,LVCC West,61601,Volumioは高品質な音楽ストリーミングソリューションを提供する先進的なオーディオテクノロジー企業です。直感的なプラットフォームと革新的な製品で、Volumioは人々の音楽の楽しみ方を変革し、...,,,,,11.0,305.0,304.72
Vagustim,LVCC West,63432,Vagustimは、リラックス、睡眠、腸の健康、そして全体的な健康を向上させる非侵襲的な迷走神経刺激装置を開発しています。40+の科学的研究に裏付けられ、主要な大学で使われているのは、,,,,,11.0,240.13,184.48
Validit.ai,LVCC West,61701,Validit.ai 特許取得済みの物理行動シグナル分析を用いてリアルタイムの偽情報セキュリティを提供します。当社のウェブベースのSaaSはユーザーの真正性を検証し、ディープフェイクやなりすましを検出し、...,,,,,11.0,345.6,300.3
Verbix.ai,LVCC West,60841,Verbix.ai は、コンタクトセンターやCXチーム向けのAI搭載のコール分析プラットフォームです。キーワードのコール、センチメント、コンプライアンス、コーチングスコアを分析し、リアルタイムの洞察を提供して改善...,,,,,11.0,238.47,362.18
Vesica AI,LVCC West,62801,膀胱がんをリアルタイムで可視化・マッピングするAIによる泌尿器科の変革、データ駆動型診断で医師を支援し、膀胱がんを...,,,,,11.0,302.4,213.22
Viseur AI,LVCC West,63432,Viseur AIは、診断を加速し、ワークフローを最適化し、すべての医療専門家が臨床AIを利用できるようにする統合型SaaSソリューションを構築するヘルステック企業です。ヴィズールAIが...,,,,,11.0,240.13,184.48
Visionary.ai,LVCC West,61701,最も有望なAIスタートアップ100社に選ばれた Visionary.ai、高度なAI画像処理ソフトウェアを開発し、あらゆる環境で優れた性能を発揮できるカメラを支援しています。彼らのAIISPは...,なんとなく入れた。重要視していない,,,,11.0,345.6,300.3
Voltraware Semiconductor Co. Ltd.,LVCC West,62201,Voltrawareは磁気共鳴無線電力転送アプリケーション向けのICおよびシステムの研究開発を専門としており、管理チームはICおよび無線電力の専門家で構成されています。,,,,,11.0,313.4,238.43
Waytogo,LVCC West,63432,プロフェッショナルなコーチングプロセスのために特別に設計されたAI搭載のウェブプラットフォーム。,,,,,11.0,240.13,184.48
Webuild Tech Limited,LVCC West,63200,IoT、AI、インテリジェントセンシングに注力し、知覚、空間捕捉、リアルタイムコンピューティングのコア能力を開発しています。CESでは、パノラマインテリジェントモバイルデバイス、ポータブル...,,,,,11.0,302.69,186.7
Wellysis Corp.,LVCC West,63701,WellysisはSamsung SDSから分社したデジタルヘルスケアスタートアップで、診断から予防に至るまでのイノベーションをリードしています。FDA承認のウェアラブルECGデバイスと強力なAI分析を用いて、私たちはソリューションを提供します...,,,,,11.0,345.06,166.78
Wheere,LVCC West,60412,Wheereはクラス最高の屋内ジオロケーションソリューションです。Wheereでは、従来のシステムの限界を超えた革新的で特許取得済みのアプローチで屋内位置情報を革新しました。W...,,,,,11.0,269.72,397.55
"Xcube Co., Ltd.",LVCC West,62901,XCUBEは特許取得済みの多臓器セグメンテーションおよびボクセルベースの3D解剖学モデリング技術を用いたCT自動化ソフトウェアを開発しています。グローバルな特許と臨床検証により、私たちのプラットフォームは...,,,,,11.0,345.64,219.83
Xenra,LVCC West,61037,Wi-Fiはすでに接続されています。今、それは感知している。XenraはアンビエントWi-Fiをリアルタイムのウェルネス、睡眠、プレゼンスのインサイトに変換し、カメラやウェアラブル、クラウドを使わずに実現します。私たちのプラグアンドプレイデバイスは...,,,,,11.0,247.31,348.92
Y-BRUSH,LVCC West,60801,Biotech DentalのYブラシは理想的な口腔ケアソリューションであり、医療機器シリーズの意見をもとに開発されています。YブラシはPRを簡素化するために設計されています...,,,,,11.0,305.0,362.18
YYSOFT Inc.,LVCC West,62901,YYSOFTは、ブロックチェーンとGS1 EPCISを用いたAIディープテックトラストインフラを提供し、すべての業界でデータの完全性を確保しています。私たちはグローバルな規制遵守(FSMA、CBAM、DPP)を自動化し、最大限に活用しています...,,,,,11.0,345.64,219.83
"Zettlab Innovation Technology Co., Ltd",Venetian Expo,60836,Zettlabは、より賢く、安全で美しいストレージソリューションを提供することを目指したスタートアップです。,,★,,,11.0,247.31,371.02
aida innovazione,LVCC West,61601,"アイダ・イノヴァツィオーネは、IoT、AI、ビッグデータソリューションを専門とするイタリアのテック企業で、モニタリング、分析、自動化を行っています。リアルタイムのデータ収集や診断のためのプラットフォームを開発しています,...",,,,,11.0,305.0,304.72
arvyax technologies private limited,LVCC West,60445,ArvyaXは、想像力が実体化されるAR/VRを超えた世界、すなわち擬似現実(Pseudo-Reality)を開拓しています。AI搭載の画面不要デバイス「SoulStrip」は、あなたの感覚を現実の中で生き、働き、夢見るように目覚めさせます...,,,,,11.0,229.63,388.71
dentalPrices,LVCC West,63432,dentalPrices(FKA distedavim)は、患者が歯科治療を見つけ、比較し、資金調達を支援するプラットフォームです。,,,,,11.0,240.13,184.48
"dob Studio, Inc.",LVCC West,63300,私たちはAI技術を活用し、フォトリアルなバーチャル顔を持つバーチャルインフルエンサーを作成し、マーケティングに活用しています。また、コマーシャルやテレビ用に高精細スターの顔を若返らせたり復元したりする手助けもしています...,,,,,11.0,348.82,180.06
iMogul AI,LVCC West,62240,iMogul AIは、脚本家、観客、プロデューサーをAI駆動の洞察を通じてつなげることで、映画、テレビ、ストリーミングプロジェクトの制作方法を変革するエンターテックスタートアップです。私たちのプラットフォームは...,,,,,11.0,238.47,282.61
identic ai GmbH,LVCC West,61220,identic AIは、主に小売向けに商品画像から3DおよびARコンテンツを生成するAIソリューションを提供するICTスタートアップです。API統合と3Dコンテンツ生成を1日で実現し、営業は...,,,,,11.0,270.31,331.24
